Features,المميزات
"All store credit value and price must be set '%1'", "يجب تعيين جميع قيم الائتمان المخزني والسعر '%1'"
"Store Credit Value must be set '%1'", "يجب تعيين قيمة الائتمان المخزني '%1'"
"You need to choose options for your item.","يجب عليك اختيار خيارات لعنصرك."
"Fixed value","قيمة ثابتة"
"Dropdown values","قيم منسدلة"
"Custom value","قيمة مخصصة"
"Use store credit to checkout (%1 available)","استخدام الائتمان للخروج (%1 متاح)"
"Enter credit amount","أدخل مبلغ الائتمان"
"Apply Credit","تطبيق الائتمان"
"Close","إغلاق"
"Cancel Credit","إلغاء الائتمان"
"You're spending: ","أنت تنفق: "
"You can't apply the amount which is greater than your credit balance","لا يمكنك تطبيق المبلغ الذي يزيد عن رصيد الائتمان الخاص بك"
"Your credit was successfully removed","تمت إزالة الائتمان الخاص بك بنجاح"
"%1 credit was successfully applied","تم تطبيق %1 ائتمان بنجاح"
"You have no items in your quote.","ليس لديك أي عناصر في عرض الأسعار الخاص بك."
"Track your order","تتبع طلبك"
"Quickview","نظرة سريعة"
"You added %1 to your quote.","لقد أضفت %1 إلى عرض الأسعار الخاص بك."
"Adding...","جارٍ الإضافة..."
"Adding ...","جارٍ الإضافة ..."
"Request a Quote","طلب عرض سعر"
"%1 has been removed from wishlist.","تمت إزالة %1 من قائمة الرغبات."
"Update Wish List","تحديث قائمة الرغبات"
"Comment","تعليق"
Click <a href="%1">here</a> to go to homepage.,انقر <a href="%1">هنا</a> للانتقال إلى الصفحة الرئيسية.
"Your credit balance is: %1","رصيدك الائتماني هو: %1"
"Your credit balance is: %1 (%2)","رصيدك الائتماني هو: %1 (%2)"
"Refund","استرجاع"
"Max Amount: ","الحد الأقصى: "
"View History","عرض التاريخ"
"Change Amount","تغيير المبلغ"
"&laquo;Back View RMA","&laquo; العودة إلى عرض طلب الاسترجاع"
"Welcome, %1!","!مرحبا, %1"
